name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий;Версия ПО (опросник);Статус
@babel/parser;8.0.5;8.0.5;https://registry.npmjs.org/@babel/parser/-/parser-8.0.5.tgz;npm install @babel/parser@8.0.5;@babel/core, @babel/generator, @babel/template, @babel/traverse, @types/babel__core, @types/babel__template, istanbul-lib-instrument;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-bugfix-safari-rest-destructuring-rhs-array/-/plugin-bugfix-safari-rest-destructuring-rhs-array-8.0.5.tgz;npm install @babel/plugin-bugfix-safari-rest-destructuring-rhs-array@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-syntax-jsx;7.29.7;7.29.7;https://registry.npmjs.org/@babel/plugin-syntax-jsx/-/plugin-syntax-jsx-7.29.7.tgz;npm install @babel/plugin-syntax-jsx@7.29.7;jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-syntax-typescript;7.29.7;7.29.7;https://registry.npmjs.org/@babel/plugin-syntax-typescript/-/plugin-syntax-typescript-7.29.7.tgz;npm install @babel/plugin-syntax-typescript@7.29.7;jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.3;версия не совпадает
@babel/plugin-transform-block-scoping;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-block-scoping/-/plugin-transform-block-scoping-8.0.5.tgz;npm install @babel/plugin-transform-block-scoping@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-class-static-block;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-class-static-block/-/plugin-transform-class-static-block-8.0.5.tgz;npm install @babel/plugin-transform-class-static-block@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-classes;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-classes/-/plugin-transform-classes-8.0.5.tgz;npm install @babel/plugin-transform-classes@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-destructuring;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-destructuring/-/plugin-transform-destructuring-8.0.5.tgz;npm install @babel/plugin-transform-destructuring@8.0.5;@babel/plugin-transform-explicit-resource-management, @babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-explicit-resource-management;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-explicit-resource-management/-/plugin-transform-explicit-resource-management-8.0.5.tgz;npm install @babel/plugin-transform-explicit-resource-management@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-optional-chaining;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-optional-chaining/-/plugin-transform-optional-chaining-8.0.5.tgz;npm install @babel/plugin-transform-optional-chaining@8.0.5;@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
